Tanggal;Tavg
01-07-2021;27.1
02-07-2021;27.6
03-07-2021;27
04-07-2021;26.5
05-07-2021;26.1
06-07-2021;25.4
07-07-2021;26.9
08-07-2021;26.9
09-07-2021;27.7
10-07-2021;27
11-07-2021;27.3
12-07-2021;27.6
13-07-2021;25.8
14-07-2021;27.4
15-07-2021;27.7
16-07-2021;26.6
17-07-2021;26.9
18-07-2021;27.7
19-07-2021;27.7
20-07-2021;27.8
21-07-2021;27.3
22-07-2021;27.8
23-07-2021;28.7
24-07-2021;28
25-07-2021;27.8
26-07-2021;28.5
27-07-2021;28.2
28-07-2021;27.9
29-07-2021;25.9
30-07-2021;26.9
31-07-2021;26.9
01-08-2021;27.9
02-08-2021;27
03-08-2021;28
04-08-2021;26.6
05-08-2021;27.6
06-08-2021;28.1
07-08-2021;28.2
08-08-2021;28
09-08-2021;27
10-08-2021;26.2
11-08-2021;25.6
12-08-2021;26.4
13-08-2021;26.9
14-08-2021;25.9
15-08-2021;26
16-08-2021;26.6
17-08-2021;25.3
18-08-2021;25.5
19-08-2021;25.7
20-08-2021;26.9
21-08-2021;27
22-08-2021;25.8
23-08-2021;26
24-08-2021;26.1
25-08-2021;26.6
26-08-2021;26.8
27-08-2021;27.3
28-08-2021;27.4
29-08-2021;27.6
30-08-2021;27.6
31-08-2021;26.9
01-09-2021;25.5
02-09-2021;26
03-09-2021;26.7
04-09-2021;26.9
05-09-2021;26.7
06-09-2021;26.7
07-09-2021;26.6
08-09-2021;25.8
09-09-2021;26.8
10-09-2021;27.2
11-09-2021;27.5
12-09-2021;27.8
13-09-2021;28
14-09-2021;27.8
15-09-2021;27.3
16-09-2021;28.4
17-09-2021;27.8
18-09-2021;25.9
19-09-2021;26.2
20-09-2021;27.3
21-09-2021;27.6
22-09-2021;27.7
23-09-2021;27.5
24-09-2021;27.3
25-09-2021;27.6
26-09-2021;27.1
27-09-2021;27.9
28-09-2021;26.3
29-09-2021;25.3
30-09-2021;25.6
01-10-2021;26.1
02-10-2021;26.4
03-10-2021;27.4
04-10-2021;27.6
05-10-2021;27
06-10-2021;28
07-10-2021;27.6
08-10-2021;27.7
09-10-2021;28.2
10-10-2021;25.2
11-10-2021;26.6
12-10-2021;27.2
13-10-2021;27.8
14-10-2021;27.1
15-10-2021;28.5
16-10-2021;28.3
17-10-2021;27.5
18-10-2021;26.6
19-10-2021;26.9
20-10-2021;26.5
21-10-2021;26.5
22-10-2021;26.1
